"CIDADE","UF"
"ALFREDO VASCONCELOS","MINAS GERAIS"
"ALFREDO WAGNER","SANTA CATARINA"
"ALGODAO DE JANDAIRA","PARAIBA"
"ALHANDRA","PARAIBA"
"ALIANCA DO TOCANTINS","TOCANTINS"
"ALIANCA","PERNAMBUCO"
"ALMADINA","BAHIA"
"ALMAS","TOCANTINS"
"ALMEIRIM","PARA"
"ALMENARA","MINAS GERAIS"
"ALMINO AFONSO","RIO GRANDE DO NORTE"
"ALMIRANTE TAMANDARE DO SUL","RIO GRANDE DO SUL"
"ALMIRANTE TAMANDARE","PARANA"
"ALOANDIA","GOIAS"
"ALPERCATA","MINAS GERAIS"
"ALPESTRE","RIO GRANDE DO SUL"
"ALPINOPOLIS","MINAS GERAIS"
"ALTA FLORESTA D""OESTE","RONDONIA"
"ALTA FLORESTA","MATO GROSSO"
"ALTAIR","SAO PAULO"
"ALTAMIRA DO MARANHAO","MARANHAO"
"ALTAMIRA DO PARANA","PARANA"
"ALTAMIRA","PARA"
"ALTANEIRA","CEARA"
"ALTEROSA","MINAS GERAIS"
"ALTINHO","PERNAMBUCO"
"ALTINOPOLIS","SAO PAULO"
"ALTO ALEGRE DO MARANHAO","MARANHAO"
"ALTO ALEGRE DO PINDARE","MARANHAO"
"ALTO ALEGRE DOS PARECIS","RONDONIA"
"ALTO ALEGRE","RIO GRANDE DO SUL"
"ALTO ALEGRE","RORAIMA"
"ALTO ALEGRE","SAO PAULO"
"ALTO ARAGUAIA","MATO GROSSO"
"ALTO BELA VISTA","SANTA CATARINA"
"ALTO BOA VISTA","MATO GROSSO"
"ALTO CAPARAO","MINAS GERAIS"
"ALTO DO RODRIGUES","RIO GRANDE DO NORTE"
"ALTO FELIZ","RIO GRANDE DO SUL"
"ALTO GARCAS","MATO GROSSO"
"ALTO HORIZONTE","GOIAS"
"ALTO JEQUITIBA","MINAS GERAIS"
"ALTO LONGA","PIAUI"
"ALTONIA","PARANA"
"ALTO PARAGUAI","MATO GROSSO"
"ALTO PARAISO DE GOIAS","GOIAS"
"ALTO PARAISO","PARANA"
"ALTO PARAISO","RONDONIA"
"ALTO PARANA","PARANA"
"ALTO PARNAIBA","MARANHAO"
"ALTO PIQUIRI","PARANA"
"ALTO RIO DOCE","MINAS GERAIS"
"ALTO RIO NOVO","ESPIRITO SANTO"
"ALTO SANTO","CEARA"
"ALTOS","PIAUI"
"ALTO TAQUARI","MATO GROSSO"
"ALUMINIO","SAO PAULO"
"ALVARAES","AMAZONAS"
"ALVARENGA","MINAS GERAIS"
"ALVARES FLORENCE","SAO PAULO"
"ALVARES MACHADO","SAO PAULO"
"ALVARO DE CARVALHO","SAO PAULO"
"ALVINLANDIA","SAO PAULO"
"ALVINOPOLIS","MINAS GERAIS"
"ALVORADA DE MINAS","MINAS GERAIS"
"ALVORADA D""OESTE","RONDONIA"
"ALVORADA DO GURGUEIA","PIAUI"
"ALVORADA DO NORTE","GOIAS"
"ALVORADA DO SUL","PARANA"
"ALVORADA","RIO GRANDE DO SUL"
"ALVORADA","TOCANTINS"
"AMAJARI","RORAIMA"
"AMAMBAI","MATO GROSSO DO SUL"
"AMAPA DO MARANHAO","MARANHAO"
"AMAPA","AMAPA"
"AMAPORA","PARANA"
"AMARAJI","PERNAMBUCO"
"AMARAL FERRADOR","RIO GRANDE DO SUL"
"AMARALINA","GOIAS"
"AMARANTE DO MARANHAO","MARANHAO"
"AMARANTE","PIAUI"
"AMARGOSA","BAHIA"
"AMATURA","AMAZONAS"
"AMELIA RODRIGUES","BAHIA"
"AMERICA DOURADA","BAHIA"
"AMERICANA","SAO PAULO"
"AMERICANO DO BRASIL","GOIAS"
"AMERICO BRASILIENSE","SAO PAULO"
"AMERICO DE CAMPOS","SAO PAULO"
"AMETISTA DO SUL","RIO GRANDE DO SUL"
"AMONTADA","CEARA"
"AMORINOPOLIS","GOIAS"
"AMPARO DE SAO FRANCISCO","SERGIPE"
"AMPARO DO SERRA","MINAS GERAIS"
"AMPARO","PARAIBA"
"AMPARO","SAO PAULO"
"AMPERE","PARANA"
"ANADIA","ALAGOAS"
"ANAGE","BAHIA"
"ANAHY","PARANA"
"ANAJAS","PARA"
"ANAJATUBA","MARANHAO"
"ANALANDIA","SAO PAULO"
"ANAMA","AMAZONAS"
"ANANAS","TOCANTINS"
"ANANINDEUA","PARA"
"ANAPOLIS","GOIAS"
"ANAPURUS","MARANHAO"
"ANAPU","PARA"
"ANASTACIO","MATO GROSSO DO SUL"
"ANAURILANDIA","MATO GROSSO DO SUL"
"ANCHIETA","ESPIRITO SANTO"
"ANCHIETA","SANTA CATARINA"
"ANDARAI","BAHIA"
"ANDIRA","PARANA"
"ANDORINHA","BAHIA"
"ANDRADAS","MINAS GERAIS"
"ANDRADINA","SAO PAULO"
"ANDRE DA ROCHA","RIO GRANDE DO SUL"
"ANDRELANDIA","MINAS GERAIS"
"ANGATUBA","SAO PAULO"
"ANGELANDIA","MINAS GERAIS"
"ANGELICA","MATO GROSSO DO SUL"
"ANGELIM","PERNAMBUCO"
"ANGELINA","SANTA CATARINA"
"ANGICAL DO PIAUI","PIAUI"
"ANGICAL","BAHIA"
"ANGICO","TOCANTINS"
"ANGICOS","RIO GRANDE DO NORTE"
"ANGRA DOS REIS","RIO DE JANEIRO"
"ANGUERA","BAHIA"
"ANGULO","PARANA"
"ANHANGUERA","GOIAS"
"ANHEMBI","SAO PAULO"
"ANHUMAS","SAO PAULO"
"ANICUNS","GOIAS"
"ANISIO DE ABREU","PIAUI"
"ANITA GARIBALDI","SANTA CATARINA"
"ANITAPOLIS","SANTA CATARINA"
"ANORI","AMAZONAS"
"ANTA GORDA","RIO GRANDE DO SUL"
"ANTAS","BAHIA"
"ANTONINA DO NORTE","CEARA"
"ANTONINA","PARANA"
"ANTONIO ALMEIDA","PIAUI"
"ANTONIO CARDOSO","BAHIA"
"ANTONIO CARLOS","MINAS GERAIS"
"ANTONIO CARLOS","SANTA CATARINA"
"ANTONIO DIAS","MINAS GERAIS"
"ANTONIO GONCALVES","BAHIA"
"ANTONIO JOAO","MATO GROSSO DO SUL"
"ANTONIO MARTINS","RIO GRANDE DO NORTE"
"ANTONIO OLINTO","PARANA"
"ANTONIO PRADO DE MINAS","MINAS GERAIS"
"ANTONIO PRADO","RIO GRANDE DO SUL"
"APARECIDA DE GOIANIA","GOIAS"
"APARECIDA D""OESTE","SAO PAULO"
"APARECIDA DO RIO DOCE","GOIAS"
"APARECIDA DO RIO NEGRO","TOCANTINS"
"APARECIDA DO TABOADO","MATO GROSSO DO SUL"
"APARECIDA","PARAIBA"
"APARECIDA","SAO PAULO"
"APERIBE","RIO DE JANEIRO"
"APIACA","ESPIRITO SANTO"
"APIACAS","MATO GROSSO"
"APIAI","SAO PAULO"
"APICUM-ACU","MARANHAO"
"APIUNA","SANTA CATARINA"
"APODI","RIO GRANDE DO NORTE"
"APORA","BAHIA"
"APORE","GOIAS"
"APUAREMA","BAHIA"
"APUCARANA","PARANA"
"APUIARES","CEARA"
"APUI","AMAZONAS"
"AQUIDABA","SERGIPE"
"AQUIDAUANA","MATO GROSSO DO SUL"
"AQUIRAZ","CEARA"
"ARABUTA","SANTA CATARINA"
"ARACAGI","PARAIBA"
"ARACAI","MINAS GERAIS"
"ARACAJU","SERGIPE"
"ARACARIGUAMA","SAO PAULO"
"ARACAS","BAHIA"
"ARACATI","CEARA"
"ARACATUBA","SAO PAULO"
"ARACATU","BAHIA"
"ARACI","BAHIA"
"ARACITABA","MINAS GERAIS"
"ARACOIABA DA SERRA","SAO PAULO"
"ARACOIABA","CEARA"
"ARACOIABA","PERNAMBUCO"
"ARACRUZ","ESPIRITO SANTO"
"ARACUAI","MINAS GERAIS"
"ARACU","GOIAS"
"ARAGARCAS","GOIAS"
"ARAGOIANIA","GOIAS"
"ARAGOMINAS","TOCANTINS"
"ARAGUACEMA","TOCANTINS"
"ARAGUACU","TOCANTINS"
"ARAGUAIANA","MATO GROSSO"
"ARAGUAINA","TOCANTINS"
"ARAGUAINHA","MATO GROSSO"
"ARAGUANA","MARANHAO"
"ARAGUANA","TOCANTINS"
"ARAGUAPAZ","GOIAS"
"ARAGUARI","MINAS GERAIS"
"ARAGUATINS","TOCANTINS"
"ARAIOSES","MARANHAO"
"ARAL MOREIRA","MATO GROSSO DO SUL"
"ARAMARI","BAHIA"
"ARAMBARE","RIO GRANDE DO SUL"
"ARAME","MARANHAO"
"ARAMINA","SAO PAULO"
"ARANDU","SAO PAULO"
"ARANTINA","MINAS GERAIS"
"ARAPEI","SAO PAULO"
"ARAPIRACA","ALAGOAS"
"ARAPOEMA","TOCANTINS"
"ARAPONGA","MINAS GERAIS"
"ARAPONGAS","PARANA"
"ARAPORA","MINAS GERAIS"
"ARAPOTI","PARANA"
"ARAPUA","MINAS GERAIS"
"ARAPUA","PARANA"
"ARAPUTANGA","MATO GROSSO"
"ARAQUARI","SANTA CATARINA"
"ARARANGUA","SANTA CATARINA"
"ARARAQUARA","SAO PAULO"
"ARARA","PARAIBA"
"ARARAS","SAO PAULO"
"ARARENDA","CEARA"
"ARARICA","RIO GRANDE DO SUL"
"ARARIPE","CEARA"
"ARARIPINA","PERNAMBUCO"
"ARARI","MARANHAO"
"ARARUAMA","RIO DE JANEIRO"
"ARARUNA","PARAIBA"
"ARARUNA","PARANA"
"ARATACA","BAHIA"
"ARATIBA","RIO GRANDE DO SUL"
"ARATUBA","CEARA"
"ARATUIPE","BAHIA"
"ARAUA","SERGIPE"
"ARAUCARIA","PARANA"
"ARAUJOS","MINAS GERAIS"
"ARAXA","MINAS GERAIS"
"ARCEBURGO","MINAS GERAIS"
"ARCO-IRIS","SAO PAULO"
"ARCOS","MINAS GERAIS"
"ARCOVERDE","PERNAMBUCO"
"AREADO","MINAS GERAIS"
"AREAL","RIO DE JANEIRO"
"AREALVA","SAO PAULO"
"AREIA BRANCA","RIO GRANDE DO NORTE"
"AREIA BRANCA","SERGIPE"
"AREIA DE BARAUNAS","PARAIBA"
"AREIAL","PARAIBA"
"AREIA","PARAIBA"
"AREIAS","SAO PAULO"
"AREIOPOLIS","SAO PAULO"
"ARENAPOLIS","MATO GROSSO"
"ARENOPOLIS","GOIAS"
"ARES","RIO GRANDE DO NORTE"
"ARGIRITA","MINAS GERAIS"
"ARICANDUVA","MINAS GERAIS"
"ARINOS","MINAS GERAIS"
"ARIPUANA","MATO GROSSO"
"ARIQUEMES","RONDONIA"
"ARIRANHA DO IVAI","PARANA"
"ARIRANHA","SAO PAULO"
"ARMACAO DOS BUZIOS","RIO DE JANEIRO"
"ARMAZEM","SANTA CATARINA"
"ARNEIROZ","CEARA"
"AROAZES","PIAUI"
"AROEIRAS DO ITAIM","PIAUI"
"AROEIRAS","PARAIBA"
"ARRAIAL DO CABO","RIO DE JANEIRO"
"ARRAIAL","PIAUI"
"ARRAIAS","TOCANTINS"
"ARROIO DO MEIO","RIO GRANDE DO SUL"
"ARROIO DO PADRE","RIO GRANDE DO SUL"
"ARROIO DO SAL","RIO GRANDE DO SUL"
"ARROIO DOS RATOS","RIO GRANDE DO SUL"
"ARROIO DO TIGRE","RIO GRANDE DO SUL"
"ARROIO GRANDE","RIO GRANDE DO SUL"
"ARROIO TRINTA","SANTA CATARINA"
"ARTUR NOGUEIRA","SAO PAULO"
"ARUANA","GOIAS"
"ARUJA","SAO PAULO"
"ARVOREDO","SANTA CATARINA"
"ARVOREZINHA","RIO GRANDE DO SUL"
"ASCURRA","SANTA CATARINA"
"ASPASIA","SAO PAULO"
"ASSAI","PARANA"
"ASSARE","CEARA"
"ASSIS BRASIL","ACRE"
"ASSIS CHATEAUBRIAND","PARANA"
"ASSIS","SAO PAULO"
"ASSUNCAO DO PIAUI","PIAUI"
"ASSUNCAO","PARAIBA"
"ASTOLFO DUTRA","MINAS GERAIS"
"ASTORGA","PARANA"
"ATALAIA DO NORTE","AMAZONAS"
"ATALAIA","ALAGOAS"
"ATALAIA","PARANA"
"ATALANTA","SANTA CATARINA"
"ATALEIA","MINAS GERAIS"
"ATIBAIA","SAO PAULO"
"ATILIO VIVACQUA","ESPIRITO SANTO"
"AUGUSTINOPOLIS","TOCANTINS"
"AUGUSTO CORREA","PARA"
"AUGUSTO DE LIMA","MINAS GERAIS"
"AUGUSTO PESTANA","RIO GRANDE DO SUL"
"AUGUSTO SEVERO","RIO GRANDE DO NORTE"
"AUREA","RIO GRANDE DO SUL"
"AURELINO LEAL","BAHIA"
"AURIFLAMA","SAO PAULO"
"AURILANDIA","GOIAS"
"AURORA DO PARA","PARA"
"AURORA DO TOCANTINS","TOCANTINS"
"AURORA","CEARA"
"AURORA","SANTA CATARINA"
"AUTAZES","AMAZONAS"
"AVAI","SAO PAULO"
"AVANHANDAVA","SAO PAULO"
"AVARE","SAO PAULO"
"AVEIRO","PARA"
"AVELINO LOPES","PIAUI"
"AVELINOPOLIS","GOIAS"
"AXIXA DO TOCANTINS","TOCANTINS"
"AXIXA","MARANHAO"
"BABACULANDIA","TOCANTINS"
"BACABAL","MARANHAO"
"BACABEIRA","MARANHAO"
"BACURI","MARANHAO"
"BACURITUBA","MARANHAO"
"BADY BASSITT","SAO PAULO"
"BAEPENDI","MINAS GERAIS"
"BAGE","RIO GRANDE DO SUL"
"BAGRE","PARA"
"BAIA DA TRAICAO","PARAIBA"
"BAIA FORMOSA","RIO GRANDE DO NORTE"
"BAIANOPOLIS","BAHIA"
"BAIAO","PARA"
"BAIXA GRANDE DO RIBEIRO","PIAUI"
"BAIXA GRANDE","BAHIA"
"BAIXIO","CEARA"
"BAIXO GUANDU","ESPIRITO SANTO"
"BALBINOS","SAO PAULO"
"BALDIM","MINAS GERAIS"
"BALIZA","GOIAS"
"BALNEARIO ARROIO DO SILVA","SANTA CATARINA"
"BALNEARIO BARRA DO SUL","SANTA CATARINA"
"BALNEARIO CAMBORIU","SANTA CATARINA"
"BALNEARIO GAIVOTA","SANTA CATARINA"
"BALNEARIO PICARRAS","SANTA CATARINA"
"BALNEARIO PINHAL","RIO GRANDE DO SUL"
"BALSAMO","SAO PAULO"
"BALSA NOVA","PARANA"
"BALSAS","MARANHAO"
"BAMBUI","MINAS GERAIS"
"BANABUIU","CEARA"
"BANANAL","SAO PAULO"
"BANANEIRAS","PARAIBA"
"BANDEIRA DO SUL","MINAS GERAIS"
"BANDEIRANTES DO TOCANTINS","TOCANTINS"
"BANDEIRANTE","SANTA CATARINA"
"BANDEIRANTES","MATO GROSSO DO SUL"
"BANDEIRANTES","PARANA"
"BANDEIRA","MINAS GERAIS"
"BANNACH","PARA"
"BANZAE","BAHIA"
"BARAO DE ANTONINA","SAO PAULO"
"BARAO DE COCAIS","MINAS GERAIS"
"BARAO DE COTEGIPE","RIO GRANDE DO SUL"
"BARAO DE GRAJAU","MARANHAO"
"BARAO DE MELGACO","MATO GROSSO"
"BARAO DE MONTE ALTO","MINAS GERAIS"
"BARAO DO TRIUNFO","RIO GRANDE DO SUL"
"BARAO","RIO GRANDE DO SUL"
"BARAUNA","PARAIBA"
"BARAUNA","RIO GRANDE DO NORTE"
"BARBACENA","MINAS GERAIS"
"BARBALHA","CEARA"
"BARBOSA FERRAZ","PARANA"
"BARBOSA","SAO PAULO"
"BARCARENA","PARA"
"BARCELONA","RIO GRANDE DO NORTE"
"BARCELOS","AMAZONAS"
"BARIRI","SAO PAULO"
"BARRA BONITA","SANTA CATARINA"
"BARRA BONITA","SAO PAULO"
"BARRACAO","PARANA"
"BARRACAO","RIO GRANDE DO SUL"
"BARRA DA ESTIVA","BAHIA"
"BARRA D""ALCANTARA","PIAUI"
"BARRA DE GUABIRABA","PERNAMBUCO"
"BARRA DE SANTANA","PARAIBA"
"BARRA DE SANTA ROSA","PARAIBA"
"BARRA DE SANTO ANTONIO","ALAGOAS"
"BARRA DE SAO FRANCISCO","ESPIRITO SANTO"
"BARRA DE SAO MIGUEL","ALAGOAS"
"BARRA DE SAO MIGUEL","PARAIBA"
"BARRA DO BUGRES","MATO GROSSO"
"BARRA DO CHAPEU","SAO PAULO"
"BARRA DO CHOCA","BAHIA"
"BARRA DO CORDA","MARANHAO"
"BARRA DO GARCAS","MATO GROSSO"
"BARRA DO GUARITA","RIO GRANDE DO SUL"
"BARRA DO JACARE","PARANA"
"BARRA DO MENDES","BAHIA"
"BARRA DO OURO","TOCANTINS"
"BARRA DO PIRAI","RIO DE JANEIRO"
"BARRA DO QUARAI","RIO GRANDE DO SUL"
"BARRA DO RIBEIRO","RIO GRANDE DO SUL"
"BARRA DO RIO AZUL","RIO GRANDE DO SUL"
"BARRA DO ROCHA","BAHIA"
"BARRA DOS COQUEIROS","SERGIPE"
"BARRA DO TURVO","SAO PAULO"
"BARRA FUNDA","RIO GRANDE DO SUL"
"BARRA LONGA","MINAS GERAIS"
"BARRA MANSA","RIO DE JANEIRO"
"BARRA","BAHIA"
"BARRAS","PIAUI"
"BARRA VELHA","SANTA CATARINA"
"BARREIRAS DO PIAUI","PIAUI"
"BARREIRA","CEARA"
"BARREIRAS","BAHIA"
"BARREIRINHA","AMAZONAS"
"BARREIRINHAS","MARANHAO"
"BARREIROS","PERNAMBUCO"
"BARRETOS","SAO PAULO"
"BARRINHA","SAO PAULO"
"BARRO ALTO","BAHIA"
"BARRO ALTO","GOIAS"
"BARROCAS","BAHIA"
"BARRO DURO","PIAUI"
"BARROLANDIA","TOCANTINS"
"BARRO PRETO","BAHIA"
"BARROQUINHA","CEARA"
"BARROS CASSAL","RIO GRANDE DO SUL"
"BARRO","CEARA"
"BARROSO","MINAS GERAIS"
"BARUERI","SAO PAULO"
"BASTOS","SAO PAULO"
"BATAGUASSU","MATO GROSSO DO SUL"
"BATALHA","ALAGOAS"
"BATALHA","PIAUI"
"BATATAIS","SAO PAULO"
"BATAYPORA","MATO GROSSO DO SUL"
"BATURITE","CEARA"
"BAURU","SAO PAULO"
"BAYEUX","PARAIBA"
"BEBEDOURO","SAO PAULO"
"BEBERIBE","CEARA"
"BELA CRUZ","CEARA"
"BELAGUA","MARANHAO"
"BELA VISTA DA CAROBA","PARANA"
"BELA VISTA DE GOIAS","GOIAS"
"BELA VISTA DE MINAS","MINAS GERAIS"
"BELA VISTA DO MARANHAO","MARANHAO"
"BELA VISTA DO PARAISO","PARANA"
"BELA VISTA DO PIAUI","PIAUI"
"BELA VISTA DO TOLDO","SANTA CATARINA"
"BELA VISTA","MATO GROSSO DO SUL"
"BELEM DE MARIA","PERNAMBUCO"
"BELEM DE SAO FRANCISCO","PERNAMBUCO"
"BELEM DO BREJO DO CRUZ","PARAIBA"
"BELEM DO PIAUI","PIAUI"
"BELEM","ALAGOAS"
"BELEM","PARA"
"BELEM","PARAIBA"
"BELFORD ROXO","RIO DE JANEIRO"
"BELMIRO BRAGA","MINAS GERAIS"
"BELMONTE","BAHIA"
"BELMONTE","SANTA CATARINA"
"BELO CAMPO","BAHIA"
"BELO HORIZONTE","MINAS GERAIS"
"BELO JARDIM","PERNAMBUCO"
"BELO MONTE","ALAGOAS"
"BELO ORIENTE","MINAS GERAIS"
"BELO VALE","MINAS GERAIS"
"BELTERRA","PARA"
"BENEDITINOS","PIAUI"
"BENEDITO LEITE","MARANHAO"
"BENEDITO NOVO","SANTA CATARINA"
"BENEVIDES","PARA"
"BENJAMIN CONSTANT DO SUL","RIO GRANDE DO SUL"
"BENJAMIN CONSTANT","AMAZONAS"
"BENTO DE ABREU","SAO PAULO"
"BENTO FERNANDES","RIO GRANDE DO NORTE"
"BENTO GONCALVES","RIO GRANDE DO SUL"
"BEQUIMAO","MARANHAO"
"BERILO","MINAS GERAIS"
"BERIZAL","MINAS GERAIS"
"BERNARDINO BATISTA","PARAIBA"
"BERNARDINO DE CAMPOS","SAO PAULO"
"BERNARDO DO MEARIM","MARANHAO"
"BERNARDO SAYAO","TOCANTINS"
"BERTIOGA","SAO PAULO"
"BERTOLINIA","PIAUI"
"BERTOPOLIS","MINAS GERAIS"
"BERURI","AMAZONAS"
"BETANIA DO PIAUI","PIAUI"
"BETANIA","PERNAMBUCO"
"BETIM","MINAS GERAIS"
"BEZERROS","PERNAMBUCO"
"BIAS FORTES","MINAS GERAIS"
"BICAS","MINAS GERAIS"
"BIGUACU","SANTA CATARINA"
"BILAC","SAO PAULO"
"BIQUINHAS","MINAS GERAIS"
"BIRIGUI","SAO PAULO"
"BIRITIBA-MIRIM","SAO PAULO"
"BIRITINGA","BAHIA"
"BITURUNA","PARANA"
"BLUMENAU","SANTA CATARINA"
"BOA ESPERANCA DO IGUACU","PARANA"
"BOA ESPERANCA DO SUL","SAO PAULO"
"BOA ESPERANCA","ESPIRITO SANTO"
"BOA ESPERANCA","MINAS GERAIS"
"BOA ESPERANCA","PARANA"
"BOA HORA","PIAUI"
"BOA NOVA","BAHIA"
"BOA VENTURA DE SAO ROQUE","PARANA"
"BOA VENTURA","PARAIBA"
"BOA VIAGEM","CEARA"
"BOA VISTA DA APARECIDA","PARANA"
"BOA VISTA DAS MISSOES","RIO GRANDE DO SUL"
"BOA VISTA DO BURICA","RIO GRANDE DO SUL"
"BOA VISTA DO CADEADO","RIO GRANDE DO SUL"
"BOA VISTA DO GURUPI","MARANHAO"
"BOA VISTA DO INCRA","RIO GRANDE DO SUL"
"BOA VISTA DO RAMOS","AMAZONAS"
"BOA VISTA DO SUL","RIO GRANDE DO SUL"
"BOA VISTA DO TUPIM","BAHIA"
"BOA VISTA","PARAIBA"
"BOA VISTA","RORAIMA"
"BOCA DA MATA","ALAGOAS"
"BOCA DO ACRE","AMAZONAS"
"BOCAINA DE MINAS","MINAS GERAIS"
"BOCAINA DO SUL","SANTA CATARINA"
"BOCAINA","PIAUI"
"BOCAINA","SAO PAULO"
"BOCAIUVA DO SUL","PARANA"
"BOCAIUVA","MINAS GERAIS"
"BODOCO","PERNAMBUCO"
"BODOQUENA","MATO GROSSO DO SUL"
"BODO","RIO GRANDE DO NORTE"
"BOFETE","SAO PAULO"
"BOITUVA","SAO PAULO"
"BOMBINHAS","SANTA CATARINA"
"BOM CONSELHO","PERNAMBUCO"
"BOM DESPACHO","MINAS GERAIS"
"BOM JARDIM DA SERRA","SANTA CATARINA"
"BOM JARDIM DE GOIAS","GOIAS"
"BOM JARDIM DE MINAS","MINAS GERAIS"
"BOM JARDIM","MARANHAO"
"BOM JARDIM","PERNAMBUCO"
"BOM JARDIM","RIO DE JANEIRO"
"BOM JESUS DA LAPA","BAHIA"
"BOM JESUS DA PENHA","MINAS GERAIS"
"BOM JESUS DA SERRA","BAHIA"
"BOM JESUS DAS SELVAS","MARANHAO"
"BOM JESUS DE GOIAS","GOIAS"
"BOM JESUS DO AMPARO","MINAS GERAIS"
"BOM JESUS DO ARAGUAIA","MATO GROSSO"
"BOM JESUS DO GALHO","MINAS GERAIS"
"BOM JESUS DO ITABAPOANA","RIO DE JANEIRO"
"BOM JESUS DO NORTE","ESPIRITO SANTO"
"BOM JESUS DO OESTE","SANTA CATARINA"
"BOM JESUS DOS PERDOES","SAO PAULO"
"BOM JESUS DO SUL","PARANA"
"BOM JESUS DO TOCANTINS","PARA"
"BOM JESUS DO TOCANTINS","TOCANTINS"
"BOM JESUS","PARAIBA"
"BOM JESUS","PIAUI"
